(Intercept),temp_mean,energy_region
-476602.65824694483,1491.059657768819,BPAT
-103945.0860096504,2709.0787843485823,CISO
490663.57705413864,1429.929335066398,ERCO
-63055.09365397971,-2673.599455397455,FPL
744642.7960476903,7035.934194653873,MISO
-339404.2370379765,2342.3522652783818,NYIS
448503.13154605776,-14867.80655632144,SRP
-700802.4296956039,2533.051774597827,WACM
